scheme,bits,lam,op,warmup,rep,elapsed_ns,icert_len_bytes,pk_len_bytes,sk_len_bytes
schnorr,2048,128,SKGen,0,36,55700,44,33,32
schnorr,2048,128,PKRecon,0,36,5152600,44,33,32
schnorr,2048,128,Setup,0,37,561400,0,33,32
schnorr,2048,128,iCertGen,0,37,1142800,44,33,32
schnorr,2048,128,SKGen,0,37,56200,44,33,32
schnorr,2048,128,PKRecon,0,37,5156500,44,33,32
schnorr,2048,128,Setup,0,38,581800,0,33,32
schnorr,2048,128,iCertGen,0,38,1128500,44,33,32
schnorr,2048,128,SKGen,0,38,56700,44,33,32
schnorr,2048,128,PKRecon,0,38,5198300,44,33,32
schnorr,2048,128,Setup,0,39,498800,0,33,32
schnorr,2048,128,iCertGen,0,39,1273200,44,33,32
schnorr,2048,128,SKGen,0,39,52700,44,33,32
schnorr,2048,128,PKRecon,0,39,5078800,44,33,32
schnorr,2048,128,Setup,0,40,559800,0,33,32
schnorr,2048,128,iCertGen,0,40,1146600,44,33,32
schnorr,2048,128,SKGen,0,40,55800,44,33,32
schnorr,2048,128,PKRecon,0,40,5290000,44,33,32
schnorr,2048,128,Setup,0,41,535800,0,33,32
schnorr,2048,128,iCertGen,0,41,1182000,44,33,32
schnorr,2048,128,SKGen,0,41,56800,44,33,32
schnorr,2048,128,PKRecon,0,41,5355800,44,33,32
schnorr,2048,128,Setup,0,42,549900,0,33,32
schnorr,2048,128,iCertGen,0,42,1228700,44,33,32
schnorr,2048,128,SKGen,0,42,55400,44,33,32
schnorr,2048,128,PKRecon,0,42,5178700,44,33,32
schnorr,2048,128,Setup,0,43,535400,0,33,32
schnorr,2048,128,iCertGen,0,43,1252200,44,33,32
schnorr,2048,128,SKGen,0,43,55600,44,33,32
schnorr,2048,128,PKRecon,0,43,5087000,44,33,32
schnorr,2048,128,Setup,0,44,515500,0,33,32
schnorr,2048,128,iCertGen,0,44,1204600,44,33,32
schnorr,2048,128,SKGen,0,44,53500,44,33,32
schnorr,2048,128,PKRecon,0,44,5180900,44,33,32
schnorr,2048,128,Setup,0,45,497100,0,33,32
schnorr,2048,128,iCertGen,0,45,1193600,44,33,32
schnorr,2048,128,SKGen,0,45,56500,44,33,32
schnorr,2048,128,PKRecon,0,45,5251200,44,33,32
schnorr,2048,128,Setup,0,46,583800,0,33,32
schnorr,2048,128,iCertGen,0,46,1212500,44,33,32
schnorr,2048,128,SKGen,0,46,55100,44,33,32
schnorr,2048,128,PKRecon,0,46,5092400,44,33,32
schnorr,2048,128,Setup,0,47,537100,0,33,32
schnorr,2048,128,iCertGen,0,47,1168200,44,33,32
schnorr,2048,128,SKGen,0,47,55900,44,33,32
schnorr,2048,128,PKRecon,0,47,5144800,44,33,32
schnorr,2048,128,Setup,0,48,583400,0,33,32
schnorr,2048,128,iCertGen,0,48,1198500,44,33,32
schnorr,2048,128,SKGen,0,48,56900,44,33,32
schnorr,2048,128,PKRecon,0,48,5140400,44,33,32
schnorr,2048,128,Setup,0,49,599400,0,33,32
schnorr,2048,128,iCertGen,0,49,1305300,44,33,32
schnorr,2048,128,SKGen,0,49,57700,44,33,32
schnorr,2048,128,PKRecon,0,49,5345900,44,33,32
schnorr,2048,128,Setup,0,50,517300,0,33,32
schnorr,2048,128,iCertGen,0,50,1173300,44,33,32
schnorr,2048,128,SKGen,0,50,54900,44,33,32
schnorr,2048,128,PKRecon,0,50,5077300,44,33,32
schnorr,2048,128,Setup,0,51,582400,0,33,32
schnorr,2048,128,iCertGen,0,51,1198900,44,33,32
schnorr,2048,128,SKGen,0,51,53700,44,33,32
schnorr,2048,128,PKRecon,0,51,5256900,44,33,32
schnorr,2048,128,Setup,0,52,526600,0,33,32
schnorr,2048,128,iCertGen,0,52,1204600,44,33,32
schnorr,2048,128,SKGen,0,52,62800,44,33,32
schnorr,2048,128,PKRecon,0,52,5463300,44,33,32
schnorr,2048,128,Setup,0,53,537800,0,33,32
schnorr,2048,128,iCertGen,0,53,1277500,44,33,32
schnorr,2048,128,SKGen,0,53,55300,44,33,32
schnorr,2048,128,PKRecon,0,53,5177000,44,33,32
schnorr,2048,128,Setup,0,54,564200,0,33,32
schnorr,2048,128,iCertGen,0,54,1195600,44,33,32
schnorr,2048,128,SKGen,0,54,57600,44,33,32
schnorr,2048,128,PKRecon,0,54,5384600,44,33,32
schnorr,2048,128,Setup,0,55,563200,0,33,32
schnorr,2048,128,iCertGen,0,55,1232700,44,33,32
schnorr,2048,128,SKGen,0,55,56900,44,33,32
schnorr,2048,128,PKRecon,0,55,5389000,44,33,32
schnorr,2048,128,Setup,0,56,584300,0,33,32
schnorr,2048,128,iCertGen,0,56,1199800,44,33,32
schnorr,2048,128,SKGen,0,56,57900,44,33,32
schnorr,2048,128,PKRecon,0,56,5386200,44,33,32
schnorr,2048,128,Setup,0,57,578200,0,33,32
schnorr,2048,128,iCertGen,0,57,1247000,44,33,32
schnorr,2048,128,SKGen,0,57,55400,44,33,32
schnorr,2048,128,PKRecon,0,57,5262900,44,33,32
schnorr,2048,128,Setup,0,58,550300,0,33,32
schnorr,2048,128,iCertGen,0,58,1184000,44,33,32
schnorr,2048,128,SKGen,0,58,56000,44,33,32
schnorr,2048,128,PKRecon,0,58,5195900,44,33,32
schnorr,2048,128,Setup,0,59,521500,0,33,32
schnorr,2048,128,iCertGen,0,59,1195500,44,33,32
schnorr,2048,128,SKGen,0,59,57100,44,33,32
schnorr,2048,128,PKRecon,0,59,5207800,44,33,32
schnorr,2048,128,Setup,0,60,542900,0,33,32
schnorr,2048,128,iCertGen,0,60,1185400,44,33,32
schnorr,2048,128,SKGen,0,60,57100,44,33,32
schnorr,2048,128,PKRecon,0,60,5315300,44,33,32
schnorr,2048,128,Setup,0,61,539600,0,33,32
schnorr,2048,128,iCertGen,0,61,1200100,44,33,32
schnorr,2048,128,SKGen,0,61,55600,44,33,32
schnorr,2048,128,PKRecon,0,61,5383400,44,33,32
schnorr,2048,128,Setup,0,62,529900,0,33,32
schnorr,2048,128,iCertGen,0,62,1254700,44,33,32
schnorr,2048,128,SKGen,0,62,61200,44,33,32
schnorr,2048,128,PKRecon,0,62,5196100,44,33,32
schnorr,2048,128,Setup,0,63,527900,0,33,32
schnorr,2048,128,iCertGen,0,63,1108600,44,33,32
schnorr,2048,128,SKGen,0,63,54400,44,33,32
schnorr,2048,128,PKRecon,0,63,5057200,44,33,32
schnorr,2048,128,Setup,0,64,519800,0,33,32
schnorr,2048,128,iCertGen,0,64,1791800,44,33,32
schnorr,2048,128,SKGen,0,64,84700,44,33,32
schnorr,2048,128,PKRecon,0,64,6134100,44,33,32
schnorr,2048,128,Setup,0,65,535300,0,33,32
schnorr,2048,128,iCertGen,0,65,1212700,44,33,32
schnorr,2048,128,SKGen,0,65,56900,44,33,32
schnorr,2048,128,PKRecon,0,65,5221100,44,33,32
schnorr,2048,128,Setup,0,66,553800,0,33,32
schnorr,2048,128,iCertGen,0,66,1233100,44,33,32
schnorr,2048,128,SKGen,0,66,56000,44,33,32
schnorr,2048,128,PKRecon,0,66,5393200,44,33,32
schnorr,2048,128,Setup,0,67,566200,0,33,32
schnorr,2048,128,iCertGen,0,67,1158400,44,33,32
schnorr,2048,128,SKGen,0,67,53900,44,33,32
schnorr,2048,128,PKRecon,0,67,5106200,44,33,32
schnorr,2048,128,Setup,0,68,556700,0,33,32
schnorr,2048,128,iCertGen,0,68,1133300,44,33,32
schnorr,2048,128,SKGen,0,68,54700,44,33,32
schnorr,2048,128,PKRecon,0,68,5027700,44,33,32
schnorr,2048,128,Setup,0,69,550300,0,33,32
schnorr,2048,128,iCertGen,0,69,1244900,44,33,32
schnorr,2048,128,SKGen,0,69,56400,44,33,32
schnorr,2048,128,PKRecon,0,69,5400000,44,33,32
schnorr,2048,128,Setup,0,70,526000,0,33,32
schnorr,2048,128,iCertGen,0,70,1225800,44,33,32
