scheme,bits,lam,op,warmup,rep,elapsed_ns,icert_len_bytes,pk_len_bytes,sk_len_bytes
gq,3072,128,PKRecon,0,16,3928800,395,384,384
gq,3072,128,Setup,0,17,1078800,0,384,384
gq,3072,128,iCertGen,0,17,7162000,395,384,384
gq,3072,128,SKGen,0,17,4783300,395,384,384
gq,3072,128,PKRecon,0,17,4812200,395,384,384
gq,3072,128,Setup,0,18,1087500,0,384,384
gq,3072,128,iCertGen,0,18,5852600,395,384,384
gq,3072,128,SKGen,0,18,3760500,395,384,384
gq,3072,128,PKRecon,0,18,3785600,395,384,384
gq,3072,128,Setup,0,19,1041800,0,384,384
gq,3072,128,iCertGen,0,19,5997000,395,384,384
gq,3072,128,SKGen,0,19,3988300,395,384,384
gq,3072,128,PKRecon,0,19,3921700,395,384,384
gq,3072,128,Setup,0,20,1026100,0,384,384
gq,3072,128,iCertGen,0,20,5853700,395,384,384
gq,3072,128,SKGen,0,20,3712600,395,384,384
gq,3072,128,PKRecon,0,20,3722200,395,384,384
gq,3072,128,Setup,0,21,1061700,0,384,384
gq,3072,128,iCertGen,0,21,6112900,395,384,384
gq,3072,128,SKGen,0,21,3941800,395,384,384
gq,3072,128,PKRecon,0,21,3971700,395,384,384
gq,3072,128,Setup,0,22,1064800,0,384,384
gq,3072,128,iCertGen,0,22,5802800,395,384,384
gq,3072,128,SKGen,0,22,3750000,395,384,384
gq,3072,128,PKRecon,0,22,3746600,395,384,384
gq,3072,128,Setup,0,23,1044500,0,384,384
gq,3072,128,iCertGen,0,23,6132500,395,384,384
gq,3072,128,SKGen,0,23,4001900,395,384,384
gq,3072,128,PKRecon,0,23,4005200,395,384,384
gq,3072,128,Setup,0,24,1046100,0,384,384
gq,3072,128,iCertGen,0,24,6147800,395,384,384
gq,3072,128,SKGen,0,24,4004700,395,384,384
gq,3072,128,PKRecon,0,24,4039900,395,384,384
gq,3072,128,Setup,0,25,1055800,0,384,384
gq,3072,128,iCertGen,0,25,6537500,395,384,384
gq,3072,128,SKGen,0,25,4083600,395,384,384
gq,3072,128,PKRecon,0,25,4091700,395,384,384
