scheme,bits,lam,op,warmup,rep,elapsed_ns,icert_len_bytes
bls,2048,128,SKGen,0,43,56500,59
bls,2048,128,PKRecon,0,43,37312200,59
bls,2048,128,iCertGen,0,44,19949900,59
bls,2048,128,SKGen,0,44,56700,59
bls,2048,128,PKRecon,0,44,38636600,59
bls,2048,128,iCertGen,0,45,19095200,59
bls,2048,128,SKGen,0,45,55700,59
bls,2048,128,PKRecon,0,45,36854300,59
bls,2048,128,iCertGen,0,46,19113300,59
bls,2048,128,SKGen,0,46,56300,59
bls,2048,128,PKRecon,0,46,38169000,59
bls,2048,128,iCertGen,0,47,19685200,59
bls,2048,128,SKGen,0,47,57200,59
bls,2048,128,PKRecon,0,47,37182500,59
bls,2048,128,iCertGen,0,48,20211600,59
bls,2048,128,SKGen,0,48,58300,59
bls,2048,128,PKRecon,0,48,39806500,59
bls,2048,128,iCertGen,0,49,21191000,59
bls,2048,128,SKGen,0,49,56700,59
bls,2048,128,PKRecon,0,49,41201300,59
bls,2048,128,iCertGen,0,50,20500000,59
bls,2048,128,SKGen,0,50,56100,59
bls,2048,128,PKRecon,0,50,36532600,59
bls,2048,128,iCertGen,0,51,19990600,59
bls,2048,128,SKGen,0,51,60100,59
bls,2048,128,PKRecon,0,51,38959300,59
bls,2048,128,iCertGen,0,52,19360600,59
bls,2048,128,SKGen,0,52,56600,59
bls,2048,128,PKRecon,0,52,37007200,59
bls,2048,128,iCertGen,0,53,20149500,59
bls,2048,128,SKGen,0,53,56900,59
bls,2048,128,PKRecon,0,53,37830900,59
bls,2048,128,iCertGen,0,54,19526600,59
bls,2048,128,SKGen,0,54,57300,59
bls,2048,128,PKRecon,0,54,38631300,59
bls,2048,128,iCertGen,0,55,20518000,59
bls,2048,128,SKGen,0,55,56300,59
bls,2048,128,PKRecon,0,55,37995100,59
bls,2048,128,iCertGen,0,56,20133800,59
bls,2048,128,SKGen,0,56,58000,59
bls,2048,128,PKRecon,0,56,38426600,59
bls,2048,128,iCertGen,0,57,19670000,59
bls,2048,128,SKGen,0,57,57200,59
bls,2048,128,PKRecon,0,57,37676100,59
bls,2048,128,iCertGen,0,58,20311800,59
bls,2048,128,SKGen,0,58,55500,59
bls,2048,128,PKRecon,0,58,37886600,59
bls,2048,128,iCertGen,0,59,20141600,59
bls,2048,128,SKGen,0,59,57200,59
bls,2048,128,PKRecon,0,59,37980200,59
bls,2048,128,iCertGen,0,60,20297300,59
bls,2048,128,SKGen,0,60,56600,59
bls,2048,128,PKRecon,0,60,38026200,59
bls,2048,128,iCertGen,0,61,19724400,59
bls,2048,128,SKGen,0,61,59800,59
bls,2048,128,PKRecon,0,61,37331700,59
bls,2048,128,iCertGen,0,62,20565300,59
bls,2048,128,SKGen,0,62,56500,59
bls,2048,128,PKRecon,0,62,37113100,59
bls,2048,128,iCertGen,0,63,21168900,59
bls,2048,128,SKGen,0,63,54900,59
bls,2048,128,PKRecon,0,63,37014900,59
bls,2048,128,iCertGen,0,64,20134200,59
bls,2048,128,SKGen,0,64,56700,59
bls,2048,128,PKRecon,0,64,37841100,59
bls,2048,128,iCertGen,0,65,19807200,59
bls,2048,128,SKGen,0,65,57000,59
bls,2048,128,PKRecon,0,65,42389800,59
bls,2048,128,iCertGen,0,66,22314200,59
bls,2048,128,SKGen,0,66,59900,59
bls,2048,128,PKRecon,0,66,42160600,59
bls,2048,128,iCertGen,0,67,20249800,59
bls,2048,128,SKGen,0,67,57400,59
bls,2048,128,PKRecon,0,67,39995400,59
bls,2048,128,iCertGen,0,68,20229200,59
bls,2048,128,SKGen,0,68,60000,59
bls,2048,128,PKRecon,0,68,39936600,59
bls,2048,128,iCertGen,0,69,20534200,59
bls,2048,128,SKGen,0,69,55900,59
bls,2048,128,PKRecon,0,69,37698000,59
bls,2048,128,iCertGen,0,70,20443300,59
bls,2048,128,SKGen,0,70,57800,59
bls,2048,128,PKRecon,0,70,40439800,59
bls,2048,128,iCertGen,0,71,20155000,59
bls,2048,128,SKGen,0,71,56100,59
bls,2048,128,PKRecon,0,71,37324700,59
bls,2048,128,iCertGen,0,72,19498000,59
bls,2048,128,SKGen,0,72,57600,59
bls,2048,128,PKRecon,0,72,39063000,59
bls,2048,128,iCertGen,0,73,20560600,59
bls,2048,128,SKGen,0,73,59300,59
bls,2048,128,PKRecon,0,73,42784600,59
bls,2048,128,iCertGen,0,74,23333500,59
bls,2048,128,SKGen,0,74,62300,59
bls,2048,128,PKRecon,0,74,46363400,59
bls,2048,128,iCertGen,0,75,24748100,59
bls,2048,128,SKGen,0,75,64000,59
bls,2048,128,PKRecon,0,75,38568300,59
